,club_name,club_loc,club_id,club_zone
0, 209 Water Polo Club,"Primary Pool:
				Buhach Colony High School
				1800 Buhach RoadAtwater, CA
				","
				 
					Club ID: 31318
 
				
			",10008
1, A-Town Water Polo Club,"Primary Pool:
				Atascadero High School
				1 High School HillAtascadero, CA  93422
				","
				 
					Club ID: 30234
 
				
			",10008
2, Alumni Water Polo Club,"Primary Pool:
				Granite Bay High School Pool
				1 Grizzly WayGranite Bay, CA  95746
				","
				 
					Club ID: 23883
 
				
			",10008
3, American River Water Polo Club,"Primary Pool:
				Rio Americano High School
				4540 American River DrSacramento, CA  95864
				","
				 
					Club ID: 85
 
				
			",10008
4, Arroyo Grande Water Polo,"Primary Pool:
				Arroyo Grande High School
				495 Valley RdArroyo Grande, CA  93420
				","
				 
					Club ID: 21063
 
				
			",10008
5, Asa Aquatics,"Primary Pool:
				El Capitan High School (Merced)
				100 FarmlandMerced, CA  95348
				","
				 
					Club ID: 19513
 
				
			",10008
6, Bakersfield Water Polo Club,"Primary Pool:
				Garces Memorial High School
				2800 Loma Linda Dr.Bakersfield, CA  93312
				","
				 
					Club ID: 16629
 
				
			",10008
7, BarDown Water Polo Academy,"Primary Pool:
				CSU Stanislaus
				One University CircleTurlock, CA  95382
				","
				 
					Club ID: 31674
 
				
			",10008
8, Blazer Water Polo Club,"Primary Pool:
				Golden West High School
				1717 N. McauliffVisalia, CA  93292
				","
				 
					Club ID: 16120
 
				
			",10008
9, Bulldog Water Polo Club,"Primary Pool:
				Fresno State Aquatics Complex
				5305 N Campus Dr, M/S NG27Fresno, CA  93740
				","
				 
					Club ID: 31612
 
				
			",10008
10, California Gold,"Primary Pool:
				Tracy High School
				474 W. 23Rd St.Tracy, CA  95376
				","
				 
					Club ID: 33546
 
				
			",10008
11, California Republic SC,"Primary Pool:
				American River College
				4700 College Oak Dr.Sacramento, CA  95841
				","
				 
					Club ID: 26152
 
				
			",10008
12, Capital City Masters Water Polo Club,"Primary Pool:
				American River College
				4700 College Oak Dr.Sacramento, CA  95841
				","
				 
					Club ID: 34421
 
				
			",10008
13, Central Tsunami Aquatic Club,"Primary Pool:
				Central Unified Aquatics Complex
				3535 N. Cornelia AveFresno, CA  93722
				","
				 
					Club ID: 34208
 
				
			",10008
14, Central Valley Water Polo Club,"Primary Pool:
				Sunnyside High School Pool
				1019 S. Peach AveFresno, CA  93727
				","
				 
					Club ID: 1675
 
				
			",10008
15, Clovis Water Polo Club,"Primary Pool:
				Clovis West High School
				1070 E TeagueFresno, CA  93611
				","
				 
					Club ID: 47
 
				
			",10008
16, Concord Aquatics,"Primary Pool:
				De La Salle High School
				1130 Winton DriveConcord, CA  94518
				","
				 
					Club ID: 33982
 
				
			",10008
17, Davis Water Polo Club,"Primary Pool:
				UC Davis Schaal Aquatic Center
				One Shields AvenueDavis, CA  95616
				","
				 
					Club ID: 79
 
				
			",10008
18, Dixon Water Polo Club,"Primary Pool:
				Dixon Community Pool
				885 Alexander Dr.Dixon, CA  95620
				","
				 
					Club ID: 18313
 
				
			",10008
19, Echo Aquatics,"Primary Pool:
				Fresno High School
				1839 N. Echo Ave
Fresno, CA  93722
				","
				 
					Club ID: 34492
 
				
			",10008
20, Exeter Water Polo,"Primary Pool:
				Exeter Union High School
				 Rocky Hill Dr.Exeter, CA  93221
				","
				 
					Club ID: 30557
 
				
			",10008
21, Fresno Dolphins Water Polo,"Primary Pool:
				Bullard High School Aquatics Complex
				5445 N. Palm AveFresno, CA  93704
				","
				 
					Club ID: 1317
 
				
			",10008
22, Gold Country Water Polo Club,"Primary Pool:
				Ponderosa High School
				3661 Ponderosa Rd.Shingle Springs, CA  95682
				","
				 
					Club ID: 34390
 
				
			",10008
23, Granite Bay Water Polo Club,"Primary Pool:
				Granite Bay High School Pool
				1 Grizzly WayGranite Bay, CA  95746
				","
				 
					Club ID: 1200
 
				
			",10008
24, Grass Valley Water Polo,"Primary Pool:
				Nevada Union High School
				11761 Ridge RoadGrass Valley, CA  95945
				","
				 
					Club ID: 1230
 
				
			",10008
25, Huskies Water Polo Club,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 16915
 
				
			",10008
26, Kings County United,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 30470
 
				
			",10008
27, Kings River Aquatics Club,"Primary Pool:
				Selma High School
				3125 Wright StSelma, CA  93662
				","
				 
					Club ID: 25928
 
				
			",10008
28, Kings Water Polo Club,"Primary Pool:
				Hanford East High School
				120 E. Grangeville BlvdHanford, CA  93230
				","
				 
					Club ID: 174
 
				
			",10008
29, Kingsburg Water Polo Club,"Primary Pool:
				Crandell Swim Complex
				1900 18Th AvenueKingsburg, CA  93631
				","
				 
					Club ID: 512
 
				
			",10008
30, LWC,"Primary Pool:
				Lodi Unified School District
				1305 E Vine StreetLodi, CA  95240
				","
				 
					Club ID: 21387
 
				
			",10008
31, Modesto/Stanislaus Water Polo,"Primary Pool:
				Johansen H.S
				641 Norsemen DrModesto, CA  95357
				","
				 
					Club ID: 176
 
				
			",10008
32, Morro Bay Aquatics Club,"Primary Pool:
				Morro Bay High School Aquatic Center
				235 AtasMorro Bay , CA  93442
				","
				 
					Club ID: 33574
 
				
			",10008
33, Napa Premier Aquatics,"Primary Pool:
				Napa Valley College
				2277 Napa-Vallejo HwyNapa, CA  94558
				","
				 
					Club ID: 29787
 
				
			",10008
34, Napa Valley Masters Water Polo Club,"Primary Pool:
				Napa Valley College
				2277 Napa-Vallejo HwyNapa, CA  94558
				","
				 
					Club ID: 19283
 
				
			",10008
35, Nipomo Water Polo Club,"Primary Pool:
				Nipomo High School
				525 North Thompson RdNipomo, CA  93454
				","
				 
					Club ID: 18154
 
				
			",10008
36, Northern Sierra Water Polo,"Primary Pool:
				Bear River High School
				11130 Magnolia RoadGrass Valley, CA  95945
				","
				 
					Club ID: 22301
 
				
			",10008
37, Oakdale Water Polo,"Primary Pool:
				Oakdale High School
				739 West G StreetOakdale, CA  95361
				","
				 
					Club ID: 16113
 
				
			",10008
38, Orcutt Polo Association/One Way Wp Club,"Primary Pool:
				Ernest Righetti High School
				941 E. Foster Rd.Santa Maria, CA  93455
				","
				 
					Club ID: 48
 
				
			",10008
39, PacWest Water Polo Club,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 34414
 
				
			",10008
40, Pantera Valle Water Polo,"Primary Pool:
				Pioneer Valley High School
				675 Panther Dr.Santa Maria, CA  93454
				","
				 
					Club ID: 33754
 
				
			",10008
